feature,importance
f86,40.97462463378906
f14,13.614567756652832
f94,12.208918571472168
f102,11.824104309082031
f88,9.183492660522461
f105,9.004748344421387
f1,7.937353134155273
f13,6.929011821746826
f0,6.714259624481201
f97,6.5211591720581055
f100,5.674546718597412
f89,4.787306308746338
f103,4.200563907623291
f92,3.6620240211486816
f16,3.5853824615478516
f91,3.2551589012145996
f93,3.0150623321533203
f29,2.9157590866088867
f35,2.9106597900390625
f104,2.87435245513916
f87,2.807857036590576
f30,2.7709779739379883
f96,2.7404286861419678
f99,2.709343910217285
f95,2.63873553276062
f21,2.586272716522217
f34,2.5487821102142334
f98,2.4779067039489746
f22,2.4313788414001465
f33,2.3302266597747803
f101,2.3039441108703613
f90,2.2282752990722656
f37,1.9266308546066284
