feature,importance
f94,82.6352767944336
f88,40.19940948486328
f89,31.772857666015625
f86,17.516178131103516
f100,13.69758129119873
f1,10.55118179321289
f92,9.112730026245117
f103,6.5375165939331055
f0,5.824773788452148
f97,5.468787670135498
f14,4.888058185577393
f21,4.770125865936279
f104,3.828104019165039
f13,3.7769463062286377
f98,3.7639386653900146
f96,3.7354321479797363
f22,3.7271625995635986
f99,3.6634960174560547
f93,3.538438081741333
f29,3.5067291259765625
f90,3.2490732669830322
f87,3.1298229694366455
f101,2.9283463954925537
f95,2.870293378829956
f102,0.0959157943725586
