feature,importance
f86,38.40785217285156
f1,22.974218368530273
f0,11.798423767089844
f14,7.822748184204102
f16,7.366459846496582
f88,4.681292533874512
f102,3.709646463394165
f94,3.59863543510437
f105,3.41955828666687
f89,3.4106967449188232
f97,3.2597994804382324
f104,2.9708828926086426
f13,2.8862664699554443
f37,2.79620361328125
f100,2.590710163116455
f91,2.49033260345459
f34,2.3972086906433105
f93,2.214601755142212
f30,2.137510299682617
f35,2.1261353492736816
f95,2.0089478492736816
f98,1.9679707288742065
f90,1.930333137512207
f92,1.9269139766693115
f33,1.9027178287506104
f29,1.8798550367355347
f87,1.8668254613876343
f22,1.8593544960021973
f99,1.8076026439666748
f21,1.786804437637329
f96,1.7214380502700806
f103,1.7002004384994507
