graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
0,erdos,15,15,13,13,0.8571428571428571,0.9642857142857143,0.8571428571428571,0.8571428571428571,9,7,0.2857142857142857,True,0.011430105194449425,0.09616240905597806,0.06792447390034795,0.7063516249973287,0.13333333333333333,0.1333333333333333,2
1,tudataset:MUTAG,20,23,17,20,0.8181818181818182,1.0,0.6923076923076923,1.0,10,9,0.1111111111111111,True,0.03598334500566125,0.0723103228956461,0.08282111212611198,1.1453566905742412,0.15,0.13043478260869568,2
2,erdos,25,27,25,27,0.6153846153846154,0.5576923076923077,0.5714285714285714,0.6666666666666666,12,12,0.0,True,0.028579755686223507,0.18259004410356283,0.08864346006885171,0.485478058259158,0.0,0.0,0
3,erdos,18,33,18,33,0.8,0.8831168831168831,0.7142857142857143,0.9090909090909091,11,11,0.0,True,0.035644544288516045,0.1316055511124432,0.07913945708423853,0.6013382901806484,0.0,0.0,0
4,tudataset:MUTAG,19,22,17,20,0.3333333333333333,0.3555555555555555,0.3333333333333333,0.3333333333333333,9,9,0.0,True,0.021123637910932302,0.1306552547030151,0.18801895109936595,1.439046225325885,0.10526315789473684,0.09090909090909094,1
5,erdos,6,6,5,5,0.75,0.9444444444444444,0.6,1.0,3,3,0.0,True,0.00716520706191659,0.13848965521901846,0.09793799091130495,0.7071863292346139,0.16666666666666666,0.16666666666666663,1
6,erdos,7,12,6,10,0.6666666666666666,0.8333333333333334,1.0,0.5,4,4,0.0,True,0.0066641042940318584,0.1380077926442027,0.14563234290108085,1.0552472444547747,0.14285714285714285,0.16666666666666663,2
7,tudataset:MUTAG,20,22,16,18,0.72,0.6868686868686869,0.5625,1.0,9,9,0.0,True,0.02129383897408843,0.09311238024383783,0.08563310978934169,0.9196748011928186,0.2,0.18181818181818177,2
8,erdos,16,35,15,32,0.9166666666666666,0.9818181818181819,0.8461538461538461,1.0,11,11,0.0,True,0.034946839325129986,0.0956203960813582,0.0701878690160811,0.7340261271911283,0.0625,0.08571428571428574,3
9,erdos,28,179,28,179,0.92,0.8799999999999999,0.92,0.92,25,25,0.0,True,0.2624509367160499,0.23889163322746754,0.15109366783872247,0.6324778553246957,0.0,0.0,0
10,erdos,5,5,5,5,0.5714285714285714,0.25,0.5,0.6666666666666666,3,3,0.0,True,0.006447322200983763,0.09142452804371715,0.0958195561543107,1.0480727459538206,0.0,0.0,0
11,erdos,8,7,6,5,0.5,0.5,0.5,0.5,4,4,0.0,True,0.00823483383283019,0.10575632192194462,0.10945748724043369,1.0349971070402844,0.25,0.2857142857142857,2
12,erdos,34,68,31,63,0.8333333333333334,0.8977272727272727,0.7692307692307693,0.9090909090909091,23,22,0.045454545454545456,True,0.07138258730992675,0.13425929890945554,0.08397474884986877,0.6254669101653908,0.08823529411764706,0.07352941176470584,5
13,tudataset:MUTAG,17,19,15,17,0.7368421052631579,0.8055555555555556,0.6363636363636364,0.875,8,8,0.0,True,0.033602400217205286,0.17252968903630972,0.11986796418204904,0.6947671722564934,0.11764705882352941,0.10526315789473684,1
14,erdos,22,40,21,39,0.8461538461538461,0.8205128205128206,0.8461538461538461,0.8461538461538461,13,13,0.0,True,0.042450247798115015,0.10351115791127086,0.08415665989741683,0.8130201767190685,0.045454545454545456,0.025000000000000022,1
15,erdos,12,18,11,17,0.8888888888888888,0.875,0.8,1.0,9,8,0.125,True,0.012644723057746887,0.08306624367833138,0.09959226101636887,1.198949857441892,0.08333333333333333,0.05555555555555558,1
16,erdos,24,25,24,25,0.5925925925925926,0.7222222222222222,0.5333333333333333,0.6666666666666666,12,12,0.0,True,0.03536805184558034,0.14958257926627994,0.08090390870347619,0.5408645117654699,0.0,0.0,0
17,erdos,9,11,8,9,0.5454545454545454,0.55,0.5,0.6,5,5,0.0,True,0.009294080547988415,0.0754143139347434,0.07601616717875004,1.0079806234732496,0.1111111111111111,0.18181818181818177,2
18,tudataset:MUTAG,16,18,14,16,0.7,0.65625,0.5833333333333334,0.875,8,8,0.0,True,0.031705087050795555,0.15789182344451547,0.06798370461910963,0.43057140728379567,0.125,0.11111111111111116,1
19,erdos,26,37,25,36,0.8,0.8988095238095238,0.75,0.8571428571428571,14,14,0.0,True,0.04820064501836896,0.09167170897126198,0.108013856690377,1.1782681691277086,0.038461538461538464,0.027027027027026973,1
20,erdos,15,22,14,21,0.7368421052631579,0.5925925925925926,0.7,0.7777777777777778,9,9,0.0,True,0.030901381745934486,0.11876979703083634,0.12808585818856955,1.0784379647909514,0.06666666666666667,0.045454545454545414,1
21,erdos,28,42,27,41,0.7222222222222222,0.8385416666666666,0.65,0.8125,16,16,0.0,True,0.04277028003707528,0.11802995204925537,0.082016637083143,0.6948798644679313,0.03571428571428571,0.023809523809523836,1
22,tudataset:MUTAG,20,22,16,18,0.631578947368421,0.8080808080808081,0.6,0.6666666666666666,9,9,0.0,True,0.019673097878694534,0.08545404020696878,0.12958858767524362,1.516471162292402,0.2,0.18181818181818177,2
23,erdos,15,20,15,20,0.9,0.9166666666666666,0.8181818181818182,1.0,9,9,0.0,True,0.02060418389737606,0.11752384901046753,0.0839961189776659,0.7147155210189261,0.0,0.0,0
24,erdos,13,23,12,21,0.8888888888888888,0.9500000000000001,0.8,1.0,9,8,0.125,True,0.013878921046853065,0.07716056471690536,0.07374521205201745,0.9557370701287827,0.07692307692307693,0.08695652173913049,2
25,erdos,7,6,5,4,1.0,1.0,1.0,1.0,4,3,0.3333333333333333,True,0.008144492749124765,0.08191002625972033,0.07196593098342419,0.8785973374643368,0.2857142857142857,0.33333333333333337,2
26,erdos,30,48,26,43,0.8571428571428571,0.9642857142857143,0.7894736842105263,0.9375,18,16,0.125,True,0.062168327160179615,0.12107648281380534,0.06616831198334694,0.5465001166667712,0.13333333333333333,0.10416666666666663,5
27,erdos,7,8,6,7,0.8888888888888888,0.9583333333333334,0.8,1.0,4,4,0.0,True,0.007627270184457302,0.08252275921404362,0.10398361971601844,1.260059899915739,0.14285714285714285,0.125,1
28,erdos,28,58,28,58,0.7894736842105263,0.8194444444444445,0.75,0.8333333333333334,18,18,0.0,True,0.18451006710529327,0.14024594705551863,0.10829275893047452,0.772163197611729,0.0,0.0,0
29,erdos,12,66,12,66,0.9565217391304348,0.5,0.9166666666666666,1.0,11,11,0.0,True,0.06428958009928465,0.10382585879415274,0.07178645906969905,0.6914121385889458,0.0,0.0,0
30,tudataset:MUTAG,19,22,17,20,0.782608695652174,0.8777777777777777,0.6428571428571429,1.0,9,9,0.0,True,0.014501275029033422,0.07496966095641255,0.08000101335346699,1.067111846750643,0.10526315789473684,0.09090909090909094,1
31,erdos,25,23,25,23,0.5925925925925926,0.5993589743589743,0.5333333333333333,0.6666666666666666,12,12,0.0,True,0.03763962630182505,0.13677324494346976,0.060968589037656784,0.4457640020375032,0.0,0.0,0
32,erdos,5,4,3,2,1.0,1.0,1.0,1.0,3,2,0.5,True,0.006046199705451727,0.08170765498653054,0.07009912794455886,0.8579260775029544,0.4,0.5,2
33,erdos,13,24,10,18,0.9411764705882353,0.9500000000000001,0.8888888888888888,1.0,8,8,0.0,True,0.03019150672480464,0.19903526175767183,0.0935585917904973,0.4700603851010389,0.23076923076923078,0.25,6
34,erdos,23,43,21,39,0.6666666666666666,0.6541666666666667,0.6666666666666666,0.6666666666666666,15,15,0.0,True,0.04443767108023167,0.10333055630326271,0.08000911399722099,0.7743025573423209,0.08695652173913043,0.09302325581395354,4
35,erdos,26,28,24,26,0.7272727272727273,0.7396449704142012,0.6,0.9230769230769231,13,13,0.0,True,0.03961286786943674,0.12532205879688263,0.13813676312565804,1.1022541797653118,0.07692307692307693,0.0714285714285714,2
36,erdos,14,30,12,27,0.8888888888888888,0.9583333333333334,0.8,1.0,8,8,0.0,True,0.02741133887320757,0.09556278539821506,0.0879523460753262,0.920361893061449,0.14285714285714285,0.09999999999999998,2
37,erdos,32,38,30,35,0.6153846153846154,0.5745098039215686,0.5454545454545454,0.7058823529411765,18,17,0.058823529411764705,True,0.039822760969400406,0.0846736840903759,0.09798218123614788,1.1571739471211298,0.0625,0.07894736842105265,3
38,erdos,10,17,8,13,0.7272727272727273,0.75,0.8,0.6666666666666666,6,6,0.0,True,0.011170502752065659,0.1427477141842246,0.07879625586792827,0.5519966208792451,0.2,0.23529411764705888,3
39,tudataset:MUTAG,17,19,15,17,0.7619047619047619,0.8611111111111112,0.6153846153846154,1.0,8,8,0.0,True,0.032202281057834625,0.09764528879895806,0.07195240119472146,0.7368752971058777,0.11764705882352941,0.10526315789473684,1
40,erdos,24,24,20,20,0.8695652173913043,0.9230769230769231,0.8333333333333334,0.9090909090909091,12,11,0.09090909090909091,True,0.037325283978134394,0.09370825299993157,0.07596653699874878,0.8106707207400852,0.16666666666666666,0.16666666666666663,2
