feature,importance
f86,81.5525131225586
f14,29.727521896362305
f94,18.51939582824707
f16,17.648204803466797
f13,16.738473892211914
f105,14.709988594055176
f88,14.3240385055542
f1,12.34108829498291
f100,11.904996871948242
f89,10.189077377319336
f0,8.41111946105957
f102,5.557449817657471
f92,5.210995197296143
f35,4.7090983390808105
f91,4.48898983001709
f104,4.181144714355469
f97,4.10742712020874
f34,4.078744888305664
f30,4.056217193603516
f93,4.039453506469727
f99,3.958397150039673
f96,3.900571584701538
f101,3.8901431560516357
f33,3.788179397583008
f22,3.7746615409851074
f95,3.7581119537353516
f87,3.689469814300537
f98,3.572528123855591
f29,3.5512335300445557
f103,3.352139472961426
f21,3.3358747959136963
f37,3.2920427322387695
f90,3.2196149826049805
