feature,importance
f86,107.36453247070312
f105,52.71880340576172
f16,50.07268142700195
f1,14.703377723693848
f14,14.426547050476074
f94,13.112824440002441
f13,11.064860343933105
f0,10.917243957519531
f88,10.51027774810791
f89,7.907674789428711
f100,7.490357875823975
f37,4.499406814575195
f92,4.407598972320557
f91,3.839298963546753
f102,3.684396743774414
f97,3.6740243434906006
f104,3.6196205615997314
f30,3.604419469833374
f93,3.4649980068206787
f34,3.3983590602874756
f35,3.259708881378174
f96,3.2473654747009277
f103,3.224806785583496
f29,3.1729788780212402
f99,3.1491549015045166
f22,3.108034133911133
f98,3.0285043716430664
f87,3.018160104751587
f101,2.9252524375915527
f33,2.9102301597595215
f95,2.7781589031219482
f90,2.7276155948638916
f21,2.7133588790893555
