feature,importance
f94,77.2722396850586
f88,40.9801025390625
f89,32.501155853271484
f86,19.449905395507812
f100,16.081859588623047
f92,9.411969184875488
f1,9.146058082580566
f0,7.850378513336182
f103,6.721437931060791
f14,5.628936290740967
f97,5.368229389190674
f21,4.733685493469238
f98,4.006453990936279
f99,3.8803465366363525
f13,3.8669185638427734
f96,3.810744047164917
f104,3.765979528427124
f93,3.63274884223938
f22,3.60271954536438
f29,3.4498260021209717
f87,3.2408227920532227
f90,3.2276434898376465
f101,3.1548361778259277
f95,2.9226295948028564
f102,1.227889060974121
