feature,importance
f86,112.85596466064453
f16,60.3084831237793
f105,49.828372955322266
f1,15.539192199707031
f14,15.500908851623535
f94,14.538561820983887
f88,12.460861206054688
f0,12.419819831848145
f13,11.863975524902344
f100,8.268617630004883
f89,8.040983200073242
f37,5.174272060394287
f92,4.366950035095215
f97,4.207791805267334
f91,3.9439847469329834
f102,3.909406900405884
f104,3.806241750717163
f30,3.805007219314575
f93,3.6159629821777344
f34,3.5850300788879395
f103,3.5082151889801025
f96,3.481243371963501
f35,3.475919246673584
f101,3.359017848968506
f99,3.341495990753174
f29,3.2610538005828857
f22,3.1462762355804443
f98,3.1348929405212402
f95,3.119563579559326
f33,3.005638837814331
f87,2.9778990745544434
f21,2.8954403400421143
f90,2.857499122619629
