run,feature_id,feature_name,feature_type,importance
erdos_synthetic-small_synthetic-medium,f101,rw_eccentricity,RW,3.4275
erdos_synthetic-small_synthetic-medium,f33,gdv_orbit_20,GDV,3.4094
erdos_synthetic-small_synthetic-medium,f90,rw_stationary_prob,RW,3.2402
erdos_synthetic-small_synthetic-medium_synthetic-large,f86,rw_degree,RW,120.7482
erdos_synthetic-small_synthetic-medium_synthetic-large,f14,gdv_orbit_1,GDV,66.9832
erdos_synthetic-small_synthetic-medium_synthetic-large,f88,rw_return_prob_t2,RW,25.4995
erdos_synthetic-small_synthetic-medium_synthetic-large,f94,rw_min_neighbor_degree,RW,23.4083
erdos_synthetic-small_synthetic-medium_synthetic-large,f100,rw_core_number,RW,17.6705
erdos_synthetic-small_synthetic-medium_synthetic-large,f16,gdv_orbit_3,GDV,14.4295
erdos_synthetic-small_synthetic-medium_synthetic-large,f89,rw_return_prob_t4,RW,14.2963
erdos_synthetic-small_synthetic-medium_synthetic-large,f92,rw_avg_neighbor_degree,RW,13.3136
erdos_synthetic-small_synthetic-medium_synthetic-large,f1,vsko_sym3,VSKO,9.8508
erdos_synthetic-small_synthetic-medium_synthetic-large,f105,rw_triangle_count,RW,9.4469
erdos_synthetic-small_synthetic-medium_synthetic-large,f103,rw_hitting_time_proxy,RW,7.7204
erdos_synthetic-small_synthetic-medium_synthetic-large,f102,rw_avg_dist_2hop_nbrs,RW,7.1964
erdos_synthetic-small_synthetic-medium_synthetic-large,f13,gdv_orbit_0,GDV,6.7536
erdos_synthetic-small_synthetic-medium_synthetic-large,f0,vsko_sym2_1,VSKO,6.6928
erdos_synthetic-small_synthetic-medium_synthetic-large,f22,gdv_orbit_9,GDV,6.5625
erdos_synthetic-small_synthetic-medium_synthetic-large,f97,rw_betweenness_centrality,RW,6.4033
erdos_synthetic-small_synthetic-medium_synthetic-large,f93,rw_max_neighbor_degree,RW,5.2851
erdos_synthetic-small_synthetic-medium_synthetic-large,f29,gdv_orbit_16,GDV,4.5108
erdos_synthetic-small_synthetic-medium_synthetic-large,f104,rw_commute_time_proxy,RW,4.5054
erdos_synthetic-small_synthetic-medium_synthetic-large,f96,rw_closeness_centrality,RW,4.2962
erdos_synthetic-small_synthetic-medium_synthetic-large,f87,rw_degree_normalized,RW,4.2675
erdos_synthetic-small_synthetic-medium_synthetic-large,f101,rw_eccentricity,RW,4.1509
erdos_synthetic-small_synthetic-medium_synthetic-large,f37,gdv_orbit_24,GDV,4.1329
erdos_synthetic-small_synthetic-medium_synthetic-large,f99,rw_pagerank,RW,3.9242
erdos_synthetic-small_synthetic-medium_synthetic-large,f91,rw_local_clustering,RW,3.9085
erdos_synthetic-small_synthetic-medium_synthetic-large,f30,gdv_orbit_17,GDV,3.8241
erdos_synthetic-small_synthetic-medium_synthetic-large,f34,gdv_orbit_21,GDV,3.8152
erdos_synthetic-small_synthetic-medium_synthetic-large,f35,gdv_orbit_22,GDV,3.8148
erdos_synthetic-small_synthetic-medium_synthetic-large,f95,rw_degree_centrality,RW,3.7707
erdos_synthetic-small_synthetic-medium_synthetic-large,f33,gdv_orbit_20,GDV,3.6958
erdos_synthetic-small_synthetic-medium_synthetic-large,f21,gdv_orbit_8,GDV,3.6692
erdos_synthetic-small_synthetic-medium_synthetic-large,f98,rw_eigenvector_centrality,RW,3.5659
erdos_synthetic-small_synthetic-medium_synthetic-large,f90,rw_stationary_prob,RW,3.451
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f86,rw_degree,RW,114.1084
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f105,rw_triangle_count,RW,42.5093
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f16,gdv_orbit_3,GDV,41.2582
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f14,gdv_orbit_1,GDV,34.1341
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f88,rw_return_prob_t2,RW,28.8756
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f94,rw_min_neighbor_degree,RW,27.2031
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f89,rw_return_prob_t4,RW,18.6102
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f100,rw_core_number,RW,16.0217
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f13,gdv_orbit_0,GDV,15.2703
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f0,vsko_sym2_1,VSKO,13.3051
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f1,vsko_sym3,VSKO,10.0943
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f92,rw_avg_neighbor_degree,RW,9.489
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f97,rw_betweenness_centrality,RW,8.6769
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f103,rw_hitting_time_proxy,RW,7.5503
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f102,rw_avg_dist_2hop_nbrs,RW,7.305
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f22,gdv_orbit_9,GDV,6.0308
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f91,rw_local_clustering,RW,5.8849
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f104,rw_commute_time_proxy,RW,5.436
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f87,rw_degree_normalized,RW,5.334
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f35,gdv_orbit_22,GDV,5.2397
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f96,rw_closeness_centrality,RW,5.2029
erdos_synthetic-small_synthetic-medium_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f95,rw_degree_centrality,RW,5.0151
